id;b01;b02;b03;b04;b05;b06;b07;b08;b09;b10;gender;year;fin_state
Номер респондента;Були засмучені через те, що сталось несподівано?;Bідчували, що неспроможні контролювати важливі речі у вашому житті?;Відчували себе знервовано чи в стані стресу?;Відчували себе впевнено стосовно того, що здатні впоратись з власними проблемами?;Відчували, що події відбуваються так, як вам треба?;Були впевненими, що не можете впоратись з усім тим, що маєте зробити?;Відчували себе здатними контролювати те, що вас дратує?;Були впевненими, що ви все контролюєте?;Були злими через події, які ви не могли контролювати?;Здавалось, що труднощі накопичуються так швидко, що ви не можете їх подолати?;Стать;Курс;Фінансове становище родини
180;2;2;3;3;2;1;2;3;2;3;2;4;3
181;2;0;4;4;3;0;3;3;1;0;1;1;5
182;3;3;3;2;3;1;4;4;0;2;2;1;4
183;1;1;3;3;3;0;3;2;1;1;1;2;3
184;1;2;1;3;3;1;3;3;2;1;1;1;4
185;4;3;2;3;1;2;1;1;1;1;1;1;3
186;2;1;4;3;1;3;3;2;4;4;2;3;4
187;3;1;3;1;3;2;1;1;2;3;2;1;3
188;2;3;3;1;2;3;1;2;2;3;2;1;4
189;1;4;4;2;0;2;3;1;3;4;2;1;3
190;3;4;4;3;2;4;2;1;3;3;2;1;4
191;2;0;2;3;3;2;3;3;1;1;1;1;4
192;2;1;3;3;3;0;3;3;3;1;1;1;5
193;2;1;4;3;3;1;3;2;2;1;2;1;4
194;3;3;4;2;2;3;1;3;3;4;2;4;3
195;4;4;4;1;0;1;1;0;4;4;2;3;4
196;2;4;4;0;0;4;0;1;4;4;1;1;4
197;4;2;4;2;1;1;0;1;4;4;2;2;4
198;3;4;4;2;1;2;1;2;4;4;2;2;3
199;2;3;3;4;3;4;2;3;3;0;2;2;4
200;2;3;2;3;3;1;3;3;4;2;2;2;4
201;2;3;3;1;2;2;2;2;1;3;2;2;5
202;2;0;3;4;3;0;2;3;1;0;2;2;3
203;3;3;4;4;4;3;2;2;4;2;1;2;3
204;1;3;3;1;2;2;2;1;2;3;2;4;4
205;1;1;2;1;3;1;3;2;1;1;1;1;3
206;1;3;2;3;1;2;2;3;3;3;1;2;4
207;2;3;3;1;2;3;1;1;4;3;2;1;4
208;3;1;4;4;3;2;1;4;1;1;2;1;3
209;0;2;2;1;2;3;2;1;4;3;2;2;3
210;3;1;4;1;2;4;1;3;3;3;2;1;3
211;1;1;1;2;3;3;1;2;2;3;2;2;5
212;3;3;3;2;1;3;2;1;3;4;1;2;4
213;0;1;2;3;3;1;3;2;2;1;1;2;4
214;1;3;3;4;2;3;3;1;3;3;2;2;4
215;2;3;4;1;3;4;2;3;4;4;2;2;5
216;4;4;4;3;3;4;3;2;4;3;2;2;4
217;3;3;4;3;1;3;0;1;4;4;2;1;3
218;2;1;2;3;3;0;2;3;3;1;2;1;3
219;4;4;4;0;1;1;0;0;3;4;2;1;2
220;4;3;4;2;2;4;3;1;4;4;2;4;4
221;4;3;4;3;2;2;2;2;3;3;2;1;3
222;1;3;4;2;2;3;1;0;3;4;1;1;4
223;3;2;4;2;3;3;1;2;3;2;2;2;3
224;0;0;3;3;4;3;3;3;4;3;1;1;4
225;4;3;3;1;2;2;2;2;3;3;2;3;3
226;2;3;4;3;3;4;3;1;3;4;2;3;3
227;3;4;4;0;0;4;4;4;0;0;2;1;4
228;3;4;3;2;2;4;1;2;4;4;2;2;4
229;2;3;4;3;1;3;2;2;3;2;1;2;3
230;4;4;4;2;3;4;1;1;3;4;2;1;2
231;1;0;2;4;3;0;4;4;0;0;1;4;4
232;1;3;4;2;3;4;1;2;3;4;2;1;4
233;1;1;2;2;2;3;2;2;2;3;2;1;3
234;0;3;4;2;2;1;3;3;3;1;2;1;4
235;0;0;0;4;4;0;4;4;0;0;1;2;4
236;0;4;4;1;0;1;0;2;4;3;2;2;5
237;1;0;0;4;3;1;2;1;1;1;1;4;4
238;0;3;3;3;2;2;1;1;1;4;2;2;3
239;1;0;3;4;2;1;3;2;0;3;2;1;3
240;1;1;1;2;2;1;2;2;2;1;2;1;4
241;4;4;4;0;2;4;0;0;4;4;2;1;3
242;3;4;4;2;2;4;2;3;4;4;2;2;4
243;1;1;2;4;3;4;2;2;3;1;2;2;4
244;1;2;2;2;3;1;2;2;1;1;2;2;3
245;3;2;3;2;2;2;1;1;2;2;2;2;4
246;0;2;3;2;2;3;0;1;4;3;2;2;3
247;2;2;3;2;2;1;1;1;3;3;2;1;4
248;3;4;4;2;1;4;1;1;4;3;1;1;4
249;1;0;2;4;3;1;3;3;1;0;2;2;3
250;2;3;4;2;3;4;1;3;4;4;1;1;3
251;2;3;4;1;3;3;1;1;4;4;2;3;4
252;2;1;4;1;2;2;4;2;0;3;1;4;3
253;1;2;3;3;2;2;1;1;3;3;2;4;3
254;1;2;4;1;2;4;2;3;2;3;1;3;4
255;0;1;1;2;2;1;1;1;0;3;1;4;3
256;1;0;3;2;2;1;1;2;3;3;2;3;3
257;2;3;4;1;2;4;1;1;3;4;2;3;4
258;2;1;3;4;3;3;4;2;1;2;2;1;4
259;2;1;3;4;3;0;3;4;1;0;2;2;2
260;2;2;3;1;2;2;2;2;4;3;2;2;4
261;4;2;3;4;3;3;3;4;2;1;2;2;5
262;2;2;4;2;4;3;2;4;2;4;2;2;5
263;3;1;3;3;3;3;2;3;2;1;2;4;4
264;4;4;4;2;2;3;2;2;4;4;2;4;4
265;3;3;4;1;1;4;1;1;4;3;2;3;2
266;4;3;4;3;2;4;1;2;4;4;2;4;2
267;0;4;3;1;2;4;2;0;4;4;1;3;3
268;2;4;4;1;1;3;1;1;3;3;2;4;3
269;0;4;4;1;1;4;1;2;3;4;2;3;4
270;2;3;3;1;0;2;1;0;4;3;1;2;4
271;2;1;2;2;2;1;3;3;2;3;2;2;4
272;2;2;2;3;3;3;2;1;1;2;1;2;3
273;2;3;4;2;0;4;1;1;2;2;2;3;4
274;2;2;4;1;3;1;1;1;3;3;1;2;4
275;4;2;4;1;3;2;1;1;4;3;2;3;3
276;1;1;2;3;3;1;3;3;2;1;1;2;4
277;1;2;3;3;2;1;3;2;1;2;1;2;4
278;3;4;4;2;3;4;3;3;1;3;2;2;4
279;2;3;4;1;1;4;2;1;4;4;2;2;4
280;0;2;2;4;3;3;4;3;2;2;1;1;4
281;3;1;2;2;3;1;2;3;4;2;1;2;3
282;3;3;4;1;2;3;1;1;3;4;2;3;3
283;2;2;4;4;3;2;2;3;2;1;2;4;3
284;2;2;3;3;1;3;3;2;3;0;1;1;4
285;4;4;4;2;2;3;1;1;3;3;2;2;4
286;3;3;2;2;2;1;3;1;1;0;1;2;4
287;2;1;4;2;3;2;3;3;3;4;2;2;4
288;2;3;4;1;2;4;1;0;4;4;1;2;4
289;3;2;3;2;1;1;1;1;3;2;2;3;3
290;3;4;4;0;1;4;1;0;2;4;1;1;3
291;3;3;3;3;3;3;3;3;3;3;1;2;4
292;1;2;4;1;1;2;2;2;4;4;1;1;3
293;1;2;3;2;1;4;1;1;4;4;2;2;2
294;2;3;4;2;3;3;1;2;4;4;2;1;4
295;4;4;4;2;2;3;2;2;4;4;1;4;3
296;2;2;1;2;2;2;3;3;3;3;2;2;4
297;3;3;2;4;3;2;2;2;3;3;2;4;4
298;2;2;2;3;4;1;4;4;3;1;1;2;4
299;2;3;1;3;1;1;2;3;4;4;1;2;4
300;3;2;4;1;1;4;2;1;1;4;2;1;4
301;1;2;4;2;2;2;2;1;2;3;1;4;4
302;3;3;4;1;2;4;2;1;2;3;2;2;3
303;3;3;4;4;2;0;2;2;3;2;1;2;3
304;1;2;4;2;3;2;1;2;4;3;2;2;3
305;2;3;2;2;1;3;1;0;4;3;2;1;2
306;3;4;4;1;2;3;1;1;4;4;2;4;4
307;4;4;4;3;0;3;1;0;4;4;2;4;4
308;3;1;3;4;4;1;4;4;2;1;1;1;3
309;4;4;3;2;1;1;1;0;4;3;1;4;5
310;3;1;2;4;3;1;3;3;1;1;2;4;4
311;2;3;1;4;3;1;4;4;3;2;1;3;2
312;1;1;1;3;3;1;3;3;1;2;2;4;5
313;2;1;4;2;4;4;2;0;0;3;2;1;3
314;2;2;2;4;3;3;2;0;1;2;2;4;4
315;1;1;4;4;3;1;2;3;2;2;2;2;3
316;3;4;4;1;0;4;1;0;3;4;2;1;3
317;0;4;4;2;4;4;1;1;4;4;2;1;4
318;3;2;4;2;3;2;1;1;4;3;2;2;3
319;1;1;0;4;3;3;4;4;1;0;2;4;4
320;1;2;3;3;2;2;2;2;2;2;2;3;3
321;2;1;4;2;2;4;1;1;4;4;2;3;2
322;2;3;4;1;2;1;0;0;3;4;2;1;2
323;2;2;2;2;2;1;3;1;2;1;2;2;3
324;3;4;4;1;1;1;0;2;4;4;1;1;3
325;1;2;4;2;1;2;2;1;3;2;2;1;4
326;2;3;4;2;2;1;1;0;3;4;2;2;4
327;3;3;4;3;2;2;2;2;2;2;1;4;4
328;1;2;1;1;1;0;4;3;1;1;1;4;3
329;1;2;1;4;3;1;3;3;1;2;2;4;3
330;4;4;4;0;0;3;1;0;4;3;2;4;2
331;3;4;4;3;2;3;1;3;4;3;1;4;4
332;1;1;2;4;4;0;2;3;4;1;2;4;4
333;3;2;3;3;3;2;2;3;2;1;2;1;5
334;2;2;3;2;3;3;4;2;4;3;2;1;4
335;1;1;1;4;2;1;4;2;1;1;1;1;3
336;3;3;1;3;2;1;1;3;4;1;1;1;3
337;2;1;2;3;3;2;2;4;3;2;2;1;4
338;3;1;3;4;4;2;2;3;3;1;2;3;4
339;4;3;4;2;2;4;1;1;2;4;2;1;5
340;2;1;1;3;3;1;3;3;2;1;1;3;4
341;4;0;3;3;2;3;1;1;1;0;2;4;4
342;3;2;4;2;3;2;1;1;3;3;2;1;3
343;4;4;4;1;2;3;1;0;4;4;2;4;2
344;2;3;2;2;3;1;2;3;3;2;2;4;4
345;4;4;4;2;2;1;1;2;3;4;2;2;3
346;1;1;2;3;2;2;3;2;2;2;2;1;3
347;1;2;3;3;3;3;2;3;4;3;2;1;5
348;2;2;1;3;3;3;2;1;2;1;2;1;4
349;4;3;3;3;2;2;2;2;3;2;2;2;3
350;4;1;4;2;3;1;1;2;2;2;1;1;4
351;3;1;4;2;3;3;2;0;3;3;2;1;3
352;0;3;1;2;2;4;2;2;1;4;2;2;4
353;1;1;0;3;3;0;3;2;0;0;2;1;3
354;3;2;3;4;3;2;4;3;4;2;2;2;5
355;0;2;2;4;4;2;4;4;2;2;2;1;4
356;1;2;1;2;1;1;1;1;1;0;2;1;4
357;0;2;1;2;3;1;1;3;1;2;1;4;5
358;3;4;4;4;4;1;2;2;1;1;2;1;4
359;4;4;4;3;3;3;2;2;4;4;2;1;4
360;1;1;4;3;4;4;1;1;2;1;2;4;3
361;1;2;4;3;3;3;1;1;2;1;2;1;4
362;1;0;1;4;4;0;2;3;1;1;2;3;3
363;4;1;3;2;1;2;3;2;2;3;2;3;4
364;3;1;2;2;2;2;1;2;3;2;2;2;4
365;2;3;3;3;2;2;2;2;3;3;2;3;2
366;3;3;2;2;4;2;3;0;1;1;2;3;3
367;3;2;4;4;3;0;2;1;0;3;2;3;4
368;2;3;3;3;2;3;3;2;4;3;2;2;3
369;2;1;3;3;3;3;2;1;4;1;2;4;4
370;2;1;3;1;2;4;1;2;2;4;2;3;4
371;3;2;3;2;0;0;2;2;3;1;2;3;3
372;2;0;2;4;3;1;3;3;2;0;2;2;3
373;1;2;1;3;3;0;3;3;3;0;1;2;4
374;1;1;2;3;2;2;2;1;1;1;2;3;3
375;1;1;2;3;2;2;2;2;2;2;1;2;3
376;2;3;4;3;1;1;1;1;3;3;2;3;4
377;1;1;2;3;4;1;1;2;1;1;2;2;4
378;2;4;1;2;2;3;1;3;3;2;2;2;3
379;0;2;3;1;1;4;1;0;0;3;1;2;4
380;1;1;2;3;3;2;4;2;3;2;2;2;3
381;3;3;3;3;3;0;3;3;2;2;2;2;3
382;3;3;4;2;2;3;1;2;3;3;2;3;3
383;3;2;4;2;3;1;2;3;2;3;1;2;3
384;0;0;0;3;1;3;4;4;2;0;1;1;3
385;1;3;2;4;1;0;3;3;1;1;2;4;3
386;1;2;3;3;2;1;1;2;2;1;2;4;4
387;4;2;3;3;1;4;2;1;4;4;2;2;3
388;1;1;1;3;3;1;3;3;1;1;2;4;3
389;2;1;2;3;3;3;3;3;2;2;2;4;4
390;1;3;2;3;2;3;2;1;0;3;1;4;3
391;1;2;4;1;2;3;1;1;3;3;2;4;3
392;2;3;4;1;1;3;2;2;2;4;2;4;4
